company_code,short_name,country,isin_code,sector_group,sector,share_currency,reference_currency
7608,Maisons Monde,France,FR0013153541,consumer,furniture and furnishings,EUR,EUR
7609,Manutan Intl,France,FR0000032302,industrial,industrial equipment and light machinery,EUR,EUR
7610,Marie Brizard,France,FR0000060873,consumer,beverage manufacturers,EUR,EUR
7611,Itissalat,France,MA0000011488,telecommunications,diversified telecommunications,EUR,EUR
7612,Mercialys,France,FR0010241638,real estate,retail and malls real estate,EUR,EUR
7613,Naturex,France,FR0000054694,consumer,food manufacturers,EUR,EUR
7614,Neurones,France,FR0004050250,IT,search cloud and integrated IT services,EUR,EUR
7615,NRJ,France,FR0000121691,consumer,entertainment and broadcasting,EUR,EUR
7616,Oeneo,France,FR0000052680,industrial,packaging,EUR,EUR
7617,Pharmagest,France,FR0012882389,IT,software providers,EUR,EUR
7619,Rallye,France,FR0000060618,consumer,diversified wholesale and retail,EUR,EUR
7620,Ramsay Generale,France,FR0000044471,healthcare,healthcare services,EUR,EUR
7621,Robertet,France,FR0000039091,chemicals,specialist chemicals,EUR,EUR
7622,Rothschild,France,FR0000031684,services,banking,EUR,EUR
7623,Samse,France,FR0000060071,industrial,building and construction materials,EUR,EUR
7624,Savencia,France,FR0000120107,consumer,food manufacturers,EUR,EUR
7625,Tour Eiffel,France,FR0000036816,real estate,office commercial and industrial real estate,EUR,EUR
7626,Fonc Lyonnaise,France,FR0000033409,real estate,office commercial and industrial real estate,EUR,EUR
7627,Socarfi,France,FR0000076952,IT,computers phones and devices,EUR,EUR
7628,LDC,France,FR0000053829,consumer,food manufacturers,EUR,EUR
7629,Spie,France,FR0012757854,services,engineering and technical services,EUR,EUR
7630,SRP,France,FR0013006558,consumer,diversified wholesale and retail,EUR,EUR
7631,Stallergenes,France,GB00BZ21RF93,healthcare,pharmaceuticals and biosciences,EUR,EUR
7632,Stef,France,FR0000064271,transport,transport logistics and distribution,EUR,EUR
7633,Synergie,France,FR0000032658,services,HR and recruitment,EUR,EUR
7634,Terreis,France,FR0010407049,real estate,office commercial and industrial real estate,EUR,EUR
7635,Tessi,France,FR0004529147,services,business services,EUR,EUR
7636,TFF Group,France,FR0000071904,industrial,packaging,EUR,EUR
7637,Total Gabon,France,GA0000121459,primary production,oil and gas,EUR,EUR
7638,Trigano,France,FR0005691656,consumer,sports equipment manufacturers and retailers,EUR,EUR
7639,Worldline,France,FR0011981968,services,business services,EUR,EUR
7640,Xpo Logistics,France,FR0000052870,transport,transport logistics and distribution,EUR,EUR
7641,Partouche,France,FR0012612646,consumer,hotels travel gambling and leisure,EUR,EUR
7642,Laurent,France,FR0006864484,consumer,beverage manufacturers,EUR,EUR
7643,Pierre Vacances,France,FR0000073041,consumer,hotels travel gambling and leisure,EUR,EUR
7644,Haulotte,France,FR0000066755,industrial,engines and heavy machinery,EUR,EUR
7645,Mersen,France,FR0000039620,technology,research and specialist materials,EUR,EUR
7646,GL Events,France,FR0000066672,media publishing,advertising — marketing — media — e—commerce,EUR,EUR
7648,ANF Immobilier,France,FR0000063091,real estate,diversified real estate,EUR,EUR
7649,Union Fin FR,France,FR0000034548,services,financial services,EUR,EUR
7650,Chargeurs,France,FR0000130692,consumer,textiles,EUR,EUR
7651,Fonciere Euris,France,FR0000038499,real estate,retail and malls real estate,EUR,EUR
7652,Thermador Gpe,France,FR0000061111,industrial,building and construction materials,EUR,EUR
7653,Argan,France,FR0010481960,real estate,office commercial and industrial real estate,EUR,EUR
7654,Primecity,Germany,CY0104972217,consumer,hotels travel gambling and leisure,EUR,EUR
7655,Aubay,France,FR0000063737,IT,search cloud and integrated IT services,EUR,EUR
7657,SII,France,FR0000074122,services,professional services and consulting,EUR,EUR
7658,Plastivaloire,France,FR0013252186,industrial,rubber and plastics,EUR,EUR
7659,Maisons France,France,FR0004159473,construction,construction — residential,EUR,EUR
7660,Le Noble Age,France,FR0004170017,real estate,healthcare real estate,EUR,EUR
7661,Fiducial Real,France,FR0000060535,real estate,diversified real estate,EUR,EUR
7662,CRCAM Morbihan,France,FR0000045551,services,banking,EUR,EUR
7663,Viel et Co,France,FR0000050049,services,financial services,EUR,EUR
7664,Blue Solutions,France,FR0011592104,electrical electronic,electrical equipment,EUR,EUR
